huc,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
HUC180400020503,695.290886993512,5350.5727919883,61.4099540920394,2.05672700121202,1.04039014933935,0.00420837617509872,1040.39014933935,1.38413987229094,34.7037686671302,6.87239665923648,31.2238213186989,144.599036113042,179.455397687527,1089,342
HUC180400030201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUC180400030202,209.853566486674,3751.55053094312,65.6330450678398,1.935982436744,0.31099450107938,0.00558235506190165,310.99450107938,0.572558411914017,18.8248880132472,3.67527119953508,22.9952110018943,78.4370333885301,97.3446946711626,850,185
HUC180400030203,145.202653157344,5867.06840295281,50.4162342418038,3.69664122978763,0.301645689961972,0.0529194483589374,301.645689961972,0.45799501785679,9.20224393856497,2.07881034497978,18.5676923336791,39.0823521254293,47.5853893982684,1147,455
HUC180400030204,180.187052483759,3957.30794321072,59.2225289050753,2.36446015793335,0.363500737441329,0.0095495452517986,363.500737441329,0.233345323870269,3.51572682540222,2.80037130392529,25.5936934042338,14.6488617725092,18.1800472929857,457,227
HUC180400030205,300.688948765403,5826.9667359087,47.7221136540419,2.52398856973512,0.621117835469426,0.0282314066873865,621.117835469426,0.438337696596275,4.46226140046564,1.84303276363146,25.3532849233702,21.8581589560231,23.0746378552461,709,242
HUC180400030301,226.993088907614,1229.84209896879,32.742518172296,0.667576585404668,0.48466001876726,0.000550385391209795,484.66001876726,0.131731762960172,32.932940740043,1.31472876121837,8.7692304164164,137.220586416846,170.298333711574,427,49
HUC180400030302,351.81057015853,4979.24222342408,82.6213744997758,2.35699833299095,0.677846281158757,0.00281763092672476,677.846281158757,0.324268488137713,21.5617953646072,3.16844068111533,35.8587704835715,89.8408140191966,111.49741686924,1148,192
HUC180400030303,565.789413034259,6228.31535055663,45.6357102848649,1.90529952376436,1.12930563330601,0.00581692254391965,1129.30563330601,0.246490220164303,40.134785239159,1.40551669835816,18.877385548652,167.228271829829,207.539530224525,675,211
HUC180400030402,208.652170649643,2279.85747951841,65.9611895100846,2.59684056504557,0.148516067089923,0.00433511891436661,148.516067089923,0.0893602677519681,11.2791042638401,7.02063110463162,58.2792782429667,46.9962677660006,58.3249663931644,1149,132
