hru,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
Onions and garlic,44.1906115903647,1017.62388217127,4.66534092388313,0.164045152889082,0.0695870444929998,0.00494502257902532,69.5870444929998,0.0396501929583199,4.20712044714069,0.20920920905729,0.271180219428469,17.5296685297529,21.7552877384194,58,173
Peaches and nectarines,39.6726662560641,1879.9162975855,18.8443978052755,1.13064201098233,0.0695779708541342,0.0114483174261055,69.5779708541342,0.3426753253821,3.40915758767084,0.308116948598537,4.21584472616102,14.2048232819618,17.6289709784281,566,152
Pears,110.601162233878,478.060981238551,15.7167837539804,0.27452346137929,0.21748432267096,0.000382599611279426,217.48432267096,0.00913349985016814,13.1111031939148,2.44128457656015,3.76457757160008,0.570047964952819,2.40940226995891,269,0
Peppers,51.2243650206014,797.008430545472,7.61720806695493,0.291588741520299,0.0993978265832173,0.00398886960706474,99.3978265832173,0.0232085244133221,0.925313614945624,0.448071062762054,0.466229944875141,5.71967742045496,5.72377222919995,0,11
Pistachios,55.9085415834773,1462.33692228859,5.59178849817125,0.164444597551555,0.114847588534576,0.00598537293826688,114.847588534576,0.0114042849047589,0.14067674575244,0.173250334871002,4.19134989500905,0.118034280891265,0.159129204663637,675,0
"Plums, prunes, or apricots",321.132341938083,4018.89632057467,162.382867361697,1.49544170864744,0.476283412364996,0.0435643263547068,476.283412364996,1.4285330512129,4.84164327326974,1.86808168235533,22.0641449566746,20.1735136386239,25.0364456782674,1665,13
Pomegranates,3.77084086057869,27.0813821441655,1.34799123226924,0.0121168961365165,0.00756216380660073,0.00196978195500394,7.56216380660073,0.00213966862264959,0.177367267403847,0.0225169653699339,0.0548127271290963,0.0421247260084137,0.00971639820377052,0,0
Potatoes,156.076481688233,1561.58106707447,59.9965704798934,0.999085552590066,0.287665808230668,0.00514684312605157,287.665808230668,0.137194797458064,18.4470288654023,2.80037130392529,1.2866570855873,76.8626202725095,95.390760955871,270,396
Rice,369.942090441423,3377.76286936499,388.764275467539,11.6609008416834,0.708443158286093,0.0209292078995437,708.443158286093,0.0719933843458405,3.96284494754093,3.53422068606853,5.08828105935088,1.31172707073353,4.21181515004711,88,1
Safflower,86.4722305027479,1241.16420099168,27.867660883659,0.340863059478765,0.153284743750445,0.0049369670669532,153.284743750445,0.00434674771197079,0.212070799173226,0.364488726624493,0.394239908760141,6.28111541833823,6.28561216954509,0,20
Strawberries,88.9011644826098,22.7115553830334,14.8379916413903,0.00407569801357048,0.0844916451687485,0.0014256862753665,84.4916451687485,0.0198106019909206,0.509415479766531,0.00151968912738534,0.00123649930344919,0.891477089591429,1.42074545936467,0,0
Sunflowers,125.250767666996,4058.83939510183,41.9103265148041,1.16543829569611,0.188122736693025,0.019694989537445,188.122736693025,0.0319687601209372,0.125185982851643,2.31303382051487,1.06274526888521,0.191559735300816,0.258253348890031,52,0
Tomatoes,487.004156977962,25585.9289292492,120.594835778147,9.02760183219306,0.786537367379787,0.0542265660437688,786.537367379787,0.483007908512644,8.54284842669741,5.98063749213009,2.80453106460806,21.6823841095389,21.697906875866,619,673
Walnuts,565.789413034259,50571.9914840588,102.639870817639,16.1082011915774,1.12930563330601,0.0956574518327133,1129.30563330601,0.176659101855769,40.764848950671,6.08461863737817,68.5007293186827,169.853537294463,210.797629798735,15623,3661
Wheat,891.226905632045,1665.74179371669,476.973747043702,4.30488814833338,1.24109861320515,0.0149402548497329,1241.09861320515,0.283762236516958,1.01541866394084,2.98108591902314,3.66902882341309,4.23091109975352,5.25079457233227,23,18
