pesticide,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
CHLOROTHALONIL,1010.15234616362,10328.3565293154,66.0718831951325,2.15709975714926,1.40104712916194,0.076184999225686,1401.04712916194,3.88658136441956,1.22355339250245,5.08245255347173,0.227834079983215,1.08314562614971,11.5035670165267,497,1
CHLORPYRIFOS,217.539933716965,3570.19204127856,10.2428773291161,0.383994372536016,0.433688920765528,0.0170249876475008,433.688920765528,0.409715093164642,102.428773291161,0.0213393277689918,0.0193261836398416,426.786555379836,529.66570927557,6006,14240
CHLORTHAL-DIMETHYL,9.51695171351254,24.5430161282571,0.616817311333033,0.00558304630806844,0.0145624803235735,0.00667281821962763,14.5624803235735,0.000131237725815539,0.000134090719855007,6.16817311333033e-05,5.60743010302758e-05,0,0,0,0
CLOMAZONE,85.1225760079416,324.234723555321,29.8735418527695,1.17428232206132,0.136504974147706,0.00258326387288502,136.504974147706,0.00207455151755343,0.00235224738998185,0.219658395976246,0.000878633583904984,0,0,0,0
CLOTHIANIDIN,10.7750347091127,266.302249390179,12.7417469845912,0.619436551267283,0.0210048424677737,0.000354202086692903,21.0048424677737,0.000122281640926979,0.00031854367461478,0.000231668126992567,0.000105303694087531,0.439370585675559,0.440148382812181,0,0
CYANTRANILIPROLE,117.218635306146,110.904039937717,269.538194241782,0.275142422454842,0.224497082593301,0.00140705329774317,224.497082593301,0.0213919201779192,13.4769097120891,0.0207337072493679,0.0222758838216349,0.000374879268764649,13.5416861026068,15,0
CYAZOFAMID,0.756755228335813,0.681564238875687,0.140205606014059,0.00017746735847788,0.000857644564046209,1.34450892709423e-05,0.857644564046209,0.000250367153596533,0.000737924242179255,0.00560822424056234,0.00424865472769874,0,0,0,0
CYCLOATE,2.64282144727577,15.1971035326838,2.43129921955934,0.0304563582795024,0.00433042789529832,0.000209469931583183,4.33042789529832,0.000540288715457631,0.000101304134148306,0.0398573642550711,0.00109271875036375,0,0,0,0
CYFLUTHRIN,241.599986263414,87.8300944308414,0.0245091123746063,0.000200728383517914,0.0479428683219065,0.00356922891533197,47.9428683219065,0.0521470476055452,0.153181952341289,2.45091123746063e-06,0.0291775147316741,0.222810112496421,0.457319078086167,0,0
CYPERMETHRIN,1.26149415344987,3.20513991225782,0.000540346017567275,4.79467612100917e-06,0.00226712075139322,4.50959718335653e-05,2.26712075139322,0.00035784504474654,0.00257307627412988,8.1011396936623e-06,0.000333546924424244,0.00030019223198182,0.00357276161497615,0,0
