hru,pesticide,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
Misc. truck crops,AZOXYSTROBIN,10.4541145716444,225.01008035998,5.30942245989155,0.256605470480387,0.0177164008130079,0.00656973589177431,17.7164008130079,0.0112966435316841,0.0230844454777893,0.014748395721921,0.00165919451871611,0.0252829640947217,0.0760716433448322,0,0
Misc. truck crops,BENSULIDE,20.9418677458864,165.910438383803,1.37544656886659,0.029408266939572,0.0313454108226079,0.00354584874904422,31.3454108226079,0.0012504059716969,0.00237145960149413,0.00176339303700845,0.012504059716969,0,0,0,0
Misc. truck crops,BETA-CYFLUTHRIN,0.117209188932086,0.929312473775775,0.000313466587205261,5.65296381430524e-06,0.000182785282071058,2.04754406777264e-05,0.182785282071058,0.00460980275301854,0.00108091926622504,0.00015673329360263,0.000373174508577691,0.00069659241601169,0.00691722223743558,0,0
Misc. truck crops,BIFENTHRIN,2.1236614831774,12.5284060983611,0.00136153447508841,2.91804306961263e-05,0.0021393015806626,0.000404724680538481,2.1393015806626,0.00523667105803235,0.0123775861371674,1.65636797456011e-06,4.12586204572246e-06,5.19669646980309e-05,0.017672006389918,0,0
Misc. truck crops,BOSCALID,1.17237419685709,4.4557574603714,0.559716536269658,0.00498880832592937,0.00237301228868401,0.000286537170574006,2.37301228868401,0.000207302420840614,0.000105012483352656,0.000149257743005242,0.000143517060581963,0,0,0,0
Misc. truck crops,CARBARYL,0.272542875990739,0.037827583816259,0.356812833426678,0.000122985940402889,0.000572158110220341,1.07329124146525e-06,0.572158110220341,0.000137235705164107,0.0557520052229185,0.000594688055711131,2.60447323669108e-05,0.00274471410328214,0.0592546878194428,0,0
Misc. truck crops,CHLORANTRANILIPROLE,1.64546884922169,29.6116662016096,1.30635475547733,0.0452036078488447,0.00284685520208879,0.000659998059329465,2.84685520208879,0.000108862896289777,0.112616789265287,0.000326588688869332,0.000653177377738664,0.326588688869332,0.440294107097517,0,0
Misc. truck crops,CHLOROTHALONIL,86.1769703271275,23.5877933662357,0.479482723355435,0.000300246432538605,0.108573878633042,3.78922333427668e-05,108.573878633042,0.0282048660797315,0.00887930969176731,0.0368832864119565,0.00165338870122564,0.00786037251402352,0.0834812233987044,0,0
Misc. truck crops,CHLORPYRIFOS,48.11716089129,40.4859225171792,0.168740294376692,0.00035497609288798,0.0539206682269527,0.000192265113635226,53.9206682269527,0.00674961177506766,1.68740294376692,0.000351542279951441,0.000318377913918286,7.03084559902881,8.72566807476467,4,78
Misc. truck crops,CHLORTHAL-DIMETHYL,2.42147322473246,13.368652307181,0.210436089609848,0.00380653574915793,0.00410426837027163,0.000485236300992133,4.10426837027163,4.47736360872017e-05,4.57469760021409e-05,2.10436089609848e-05,1.91305536008953e-05,0,0,0,0
